+Участковая избирательная комиссия №1171	ТИК № 46	Ротарь Евгения Николаевна	Член	"Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
-Участковая избирательная комиссия №1178	ТИК № 46	Смирнова Евгения Николаевна	Председатель	собрание избирателей по месту работы
-Участковая избирательная комиссия №1178	ТИК № 46	Таранец Иван Сергеевич	Зам.председателя	собрание избирателей по месту работы
-Участковая избирательная комиссия №1178	ТИК № 46	Климовская Надежда Геннадьевна	Секретарь	собрание избирателей по месту работы
-Участковая избирательная комиссия №1178	ТИК № 46	Антонова Божена Владимировна	Член	"Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
-Участковая избирательная комиссия №1178	ТИК № 46	Замятина Ирина Орестовна	Член	"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1178	ТИК № 46	Лапшина Ирина Александровна	Член	"Межрегиональная общественная организация ""Союз женщин Санкт-Петербурга и Ленинградской области"" Союза женщин России"
-Участковая избирательная комиссия №1178	ТИК № 46	Романова Светлана Николаевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №1178	ТИК № 46	Соловьева Татьяна Валериевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1178	ТИК № 46	Ткебучава Марина Михайловна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1178	ТИК № 46	Фатеенкова Алевтина Викторовна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1178	ТИК № 46	Жуковская Наталья Владимировна	Председатель	"Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
+Участковая избирательная комиссия №1178	ТИК № 46	Гаврилова Наталья Валентиновна	Член	"Общественная организация ""Всероссийское общество автомобилистов"""
+Участковая избирательная комиссия №1178	ТИК № 46	Захарова Полина Максимовна	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
+Участковая избирательная комиссия №1178	ТИК № 46	Иванова Надежда Михайловна	Член	"Политическая партия ""НОВЫЕ ЛЮДИ"""
+Участковая избирательная комиссия №1178	ТИК № 46	Ивахненко Наталья Александровна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №1178	ТИК № 46	Рязанова Ирина Юрьевна	Член	"Региональное отделение Политической партии ""Российская партия пенсионеров за социальную справедливость"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1178	ТИК № 46	Самойлов Кирилл Александрович	Член	"Санкт-Петербургская Общественная организация в поддержку молодежи ""МИР МОЛОДЕЖИ"""
+Участковая избирательная комиссия №1178	ТИК № 46	Сафиулина Джамиля Хусаиновна	Член	"Региональное отделение в городе Санкт-Петербурге Политической партии ""Гражданская Платформа"""
+Участковая избирательная комиссия №1178	ТИК № 46	Смирнова Ольга Станиславовна	Член	"Региональная общественная организация бывших военнослужащих СПЕЦНАЗа армии и флота ""РОС"""
+Участковая избирательная комиссия №1178	ТИК № 46	Ушакова Екатерина Борисовна	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
+Участковая избирательная комиссия №2323	ТИК № 46	Игуменцева Людмила Васильевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2323	ТИК № 46	Каныгина Анна Андреевна	Член	"Санкт-Петербургская Общественная организация в поддержку молодежи ""МИР МОЛОДЕЖИ"""
+Участковая избирательная комиссия №2323	ТИК № 46	Коробкина Юлия Леонидовна	Член	собрание избирателей по месту работы
