+Участковая избирательная комиссия №1460	ТИК № 50	Реуцкая Светлана Валентиновна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1461	ТИК № 50	Смокин Владимир Сергеевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1461	ТИК № 50	Смокин Владимир Сергеевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1462	ТИК № 50	Марцинкевич Галина Александровна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1462	ТИК № 50	Марцинкевич Галина Александровна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1463	ТИК № 50	Гусева Татьяна Арсениевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1463	ТИК № 50	Гусева Татьяна Арсениевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1463	ТИК № 50	Потапов Алексей Владимирович	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1463	ТИК № 50	Шанин Виктор Владимирович	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
-Участковая избирательная комиссия №1464	ТИК № 50	Мартышева Евгения Михайловна	Председатель	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" Муниципального образования МО №54"
-Участковая избирательная комиссия №1464	ТИК № 50	Жукова Елена Николаевна	Зам.председателя	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
-Участковая избирательная комиссия №1464	ТИК № 50	Михайлова Анастасия Владимировна	Секретарь	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
-Участковая избирательная комиссия №1464	ТИК № 50	Архипова Валентина Александровна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1464	ТИК № 50	Бахтинова Галина Алексеевна	Член	"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1464	ТИК № 50	Васильченко Ольга Станиславовна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1464	ТИК № 50	Никитин Александр Александрович	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №1464	ТИК № 50	Долотов Евгений Евгеньевич	Зам.председателя	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1464	ТИК № 50	Толкачева Антонина Андреевна	Секретарь	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1464	ТИК № 50	Бирюков Виктор Константинович	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
+Участковая избирательная комиссия №1464	ТИК № 50	Леонова Светлана Николаевна	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" Муниципального образования МО №54"
-Участковая избирательная комиссия №1464	ТИК № 50	Сергеева Юлия Николаевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1464	ТИК № 50	Смокин Александр Сергевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №1464	ТИК № 50	Токарев Роман Олегович	Член	собрание избирателей по месту учебы
+Участковая избирательная комиссия №1464	ТИК № 50	Смокин Александр Сергевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1464	ТИК № 50	Шерстнева Алиция Антоновна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1464	ТИК № 50	Шишкова Екатерина Георгиевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1464	ТИК № 50	Юрьев Николай Юрьевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1465	ТИК № 50	Гончаренко Татьяна Игоревна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1465	ТИК № 50	Гончаренко Татьяна Игоревна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2353	ТИК № 50	Ромашкина Людмила Петровна	Председатель	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2353	ТИК № 50	Ромашкина Людмила Петровна	Председатель	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
