-Участковая избирательная комиссия №2218	ТИК № 64	Первова Ольга Михайловна	Член	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
+Участковая избирательная комиссия №2218	ТИК № 64	Мохова Наталья Юрьевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2218	ТИК № 64	Юдин Дмитрий Сергеевич	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Гаудеамус"""
-Участковая избирательная комиссия №2219	ТИК № 64	Елисеева Анна Сергеевна	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №2218	ТИК № 64	Яковлева Елена Геннадьевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2219	ТИК № 64	Истомина Мария Владимировна	Председатель	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
-Участковая избирательная комиссия №2219	ТИК № 64	Архипова Марина Германовна	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
-Участковая избирательная комиссия №2219	ТИК № 64	Брызгов Игорь Николаевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2219	ТИК № 64	Брызгов Игорь Николаевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2219	ТИК № 64	Талызина Елена Валерьевна	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
+Участковая избирательная комиссия №2219	ТИК № 64	Никифорова Лидия Вадимовна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2219	ТИК № 64	Трофимов Андрей Анатольевич	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2220	ТИК № 64	Капанадзе Нино Гивиевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №2220	ТИК № 64	Кусаинова Жанар Батырхановна	Член	Центральное местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №2220	ТИК № 64	Матяшина Елена Юрьевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2220	ТИК № 64	Мацапулина Марина Владиславовна	Член	"Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"""
-Участковая избирательная комиссия №2220	ТИК № 64	Нагорная Виктория Александровна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2220	ТИК № 64	Капанадзе Нино Гивиевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №2220	ТИК № 64	Королева Ольга Николаевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2220	ТИК № 64	Лобова Людмила Николаевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2220	ТИК № 64	Синицына Лидия Михайловна	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
-Участковая избирательная комиссия №2220	ТИК № 64	Соколова Наталья Евгеньевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2220	ТИК № 64	Чернышова Татьяна Николаевна	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
+Участковая избирательная комиссия №2220	ТИК № 64	Павлов Сергей Владимирович	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2220	ТИК № 64	Радина Юлия Александровна	Член	"Политическая партия ""Российская экологическая партия ""ЗЕЛЁНЫЕ"""
+Участковая избирательная комиссия №2220	ТИК № 64	Самарина Анастасия Алексеевна	Член	Центральное местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №2220	ТИК № 64	Смоленская Елена Васильевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2220	ТИК № 64	Талызина Елена Валерьевна	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
-Участковая избирательная комиссия №2221	ТИК № 64	Закураева Галина Александровна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2221	ТИК № 64	Дементьева Татьяна Николаевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2221	ТИК № 64	Закураева Галина Александровна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2221	ТИК № 64	Тимофеева Людмила Владимировна	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
-Участковая избирательная комиссия №2222	ТИК № 64	Проценко Татьяна Николаевна	Член	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
-Участковая избирательная комиссия №2222	ТИК № 64	Тихомиров Алексей Николаевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2222	ТИК № 64	Морякова Екатерина Евгеньевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2222	ТИК № 64	Тихомиров Алексей Николаевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2223	ТИК № 64	Стрелков Антон Михайлович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2223	ТИК № 64	Стрелков Антон Михайлович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2224	ТИК № 64	Саратовцева Людмила Анатольевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2224	ТИК № 64	Саратовцева Людмила Анатольевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2225	ТИК № 64	Михайлов Сергей Владимирович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2225	ТИК № 64	Михайлов Сергей Владимирович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2263	ТИК № 64	Верезгова Виринея Александровна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №2263	ТИК № 64	Залмина Юлия Юрьевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2263	ТИК № 64	Гусева Алина Вадимовна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2263	ТИК № 64	Залмина Юлия Юрьевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2264	ТИК № 64	Вохминцева Галина Николаевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2264	ТИК № 64	Вохминцева Галина Николаевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2265	ТИК № 64	Погольша Татьяна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2265	ТИК № 64	Погольша Татьяна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
